Type,Var,Table,Plot,AltPlot,AltTable
strong,var1,table1.png,plot1.png,An interaction plot with two intersecting downward sloping lines both with few points. Line A has a steeper slope than line B.,'Output table with response Y and explanatory variables X  Z  X:Z  and residuals. Corresponding degrees of freedom are 1  1  1  and 20 and p-values are 4.764e-10  0.009385 and 1.633e-08.'
strong,var2,table2.png,plot2.png,An intersection plot with two lines that intersect towards the left side of the graph and then diverge. Line A has a positive slope and line B has a negative slope and there are many points scattered evenly across the whole graph.,'Output table with response Y and explanatory variables X  cov  X:cov  and residuals. Corresponding degrees of freedom are 1  1  1  and 196 and p values are 0.1766804  2.29e-0.6  and 0.0002441.'
strong,var3,table3.png,plot3.png,An intersection plot with two lines that intersect at the left side. Both have positive slopes but line B has a steeper slope than line A. There are many points scattered around each corresponding line and some overlap.,'Output table with response Y and explanatory variables X  cov  X:cov  and residuals. Corresponding degrees of freedom are 1  1  1  and 196 and p values are 2.2e-16  2.2e-16  and 2.2e-16.'
strong,var4,table4.png,plot4.png, An interaction plot with two lines that start at the same point. Line A then slopes downward and line B slopes upward. Both have points scattered around their corresponding lines with some overlap.,'Output table with response Y and explanatory variables X  cov  X:cov  and residuals. Corresponding degrees of freedom are 1  1  1  and 196 and p values are 0.141  2.2e-16  and 2.2e-16.'
strong,var5,table5.png,plot5.png,An intersection plot with two lines that do not intersect. Line A has a negative slope and line B has a positive slope and there is no overlap of points.,'Output table with response Y and explanatory variables X  cov  X:cov  and residuals. Corresponding degrees of freedom are 1  1  1  and 96 and p values are 0.1519  2.2e-16  and 1.264e-12.'
strong,var6,table6.png,plot6.png,An intersection plot with two lines that do not intersect. Line A has a positive slope and line B has a negative slope. There are very few points and there is no overlapping.,'Output table with response Y and explanatory variables X  cov  X:cov  and residuals. Corresponding degrees of freedom are 1  1  1  and 36 and p values are 1.938e-10  2.2e-16  and 2.398e-07.'
strong,var7,table7.png,plot7.png,An intersection plot with two lines that do not intersect. Line A has a positive slope and line B has a negative slope. There is no overlapping with points.,'Output table with response Y and explanatory variables X  cov  X:cov  and residuals. Corresponding degrees of freedom are 1  1  1  and 76 and p values are 3.31e-13  2.2e-16  and 2.2e-16.'
strong,var8,table8.png,plot8.png,An intersection plot with two lines that intersect on the left side of the plot. Line A has a very steep positive slope and line B has a very flat positive slope. The points along each corresponding line are all very close to the line.,'Output table with response Y and explanatory variables X  cov  X:cov  and residuals. Corresponding degrees of freedom are 1  1  1  and 76 and p values are 2.2e-16  2.2e-16  and 2.2e-16.'
strong,var9,table9.png,plot9.png,An intersection plot with two lines that originate from the same area of the plot. Line A has a very steep positive slope and line B has a very flat positive slope. The points along each corresponding line are all very close to the line.,'Output table with response Y and explanatory variables X  cov  X:cov  and residuals. Corresponding degrees of freedom are 1  1  1  and 76 and p values are 2.2e-16  2.2e-16  and 2.2e-16.'
strong,var10,table10.png,plot10.png,An intersection plot with two lines that intersect on the left side of the plot. Line A has a very steep positive slope and line B has a very flat negative slope. The points along each corresponding line are all fairly close to the line.,'Output table with response Y and explanatory variables X  cov  X:cov  and residuals. Corresponding degrees of freedom are 1  1  1  and 76 and p values are 2.2e-16  2.2e-16  and 2.2e-16.'
strong,var11,table11.png,plot11.png,An intersection plot with two lines that intersect in the middle of the plot. Line A has a positive slope and line B has a slightly negative slope. The points along each corresponding line are fairly close to the line.,'Output table with response Y and explanatory variables X  cov  X:cov  and residuals. Corresponding degrees of freedom are 1  1  1  and 76 and p values are 2.2e-16  0.02378  and 2.2e-16.'
strong,var12,table12.png,plot12.png,An intersection plot with two lines that intersect towards the left of the plot. Line A has a positive slope and line B has a negative slope. Both lines have many points that do not stray far from their corresponding lines.,'Output table with response Y and explanatory variables X  cov  X:cov  and residuals. Corresponding degrees of freedom are 1  1  1  and 116 and p values are 2.785e-07  2.2e-16  and 2.2e-16.'
moderate,var13,table13.png,plot13.png,An interaction plot with two lines that do not intersect. Both have positive slopes but line B is slightly steeper than line A. There are few points that are scattered widely around each line and there is some overlap.,'Output table with response Y and explanatory variables X  cov  X:cov  and residuals. Corresponding degrees of freedom are 1  1  1  and 36 and p values are 0.02342  1.343e-11  and 0.01272.'
